layer,kind,tensor,type,cols,rows,batch,calls,ms
31,ffn_down,blk.31.ffn_down.weight,Q4_0,11008,4096,32,4,230.517897
-1,output,output.weight,Q6_K,4096,32000,1,17,3390.408672
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,1,16,16.042442
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,1,16,15.639301
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,1,16,15.667192
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,1,16,16.082049
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,1,16,42.869637
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,1,16,42.007964
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,1,16,42.777881
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,1,16,15.619704
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,1,16,15.648445
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,1,16,15.667186
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,1,16,16.072258
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,1,16,41.903584
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,1,16,41.809534
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,1,16,42.750728
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,1,16,15.683987
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,1,16,15.605520
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,1,16,15.664956
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,1,16,16.058132
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,1,16,41.838827
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,1,16,41.823422
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,1,16,42.701199
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,1,16,15.654803
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,1,16,15.651533
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,1,16,15.583748
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,1,16,16.822820
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,1,16,41.860239
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,1,16,41.864823
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,1,16,43.710220
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,1,16,15.664792
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,1,16,15.638128
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,1,16,15.652282
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,1,16,16.033735
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,1,16,41.780110
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,1,16,41.783420
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,1,16,42.771845
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,1,16,15.650688
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,1,16,15.691072
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,1,16,15.583097
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,1,16,16.088044
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,1,16,41.845921
5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,1,16,41.781207
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,1,16,42.742957
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,1,16,15.600671
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,1,16,15.653486
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,1,16,15.600996
6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,1,16,16.023460
6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,1,16,41.861551
6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,1,16,41.895813
6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,1,16,42.844955
7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,1,16,15.685143
7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,1,16,15.619220
7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,1,16,16.099162
7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,1,16,16.261044
7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,1,16,41.866929
7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,1,16,42.036546
7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,1,16,42.636662
8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,1,16,16.986133
8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,1,16,15.658714
8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,1,16,15.657553
8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,1,16,15.979936
8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,1,16,41.998368
