layer,kind,tensor,type,cols,rows,batch,calls,ms
27,ffn_up,blk.27.ffn_up.weight,Q4_0,4096,11008,32,4,207.260430
27,ffn_down,blk.27.ffn_down.weight,Q4_0,11008,4096,32,4,201.560250
28,q_proj,blk.28.attn_q.weight,Q4_0,4096,4096,32,4,77.275082
28,k_proj,blk.28.attn_k.weight,Q4_0,4096,4096,32,4,77.947483
28,v_proj,blk.28.attn_v.weight,Q4_0,4096,4096,32,4,76.964878
28,o_proj,blk.28.attn_output.weight,Q4_0,4096,4096,32,4,76.820791
28,ffn_gate,blk.28.ffn_gate.weight,Q4_0,4096,11008,32,4,207.035824
28,ffn_up,blk.28.ffn_up.weight,Q4_0,4096,11008,32,4,207.639694
28,ffn_down,blk.28.ffn_down.weight,Q4_0,11008,4096,32,4,202.388420
29,q_proj,blk.29.attn_q.weight,Q4_0,4096,4096,32,4,77.402642
29,k_proj,blk.29.attn_k.weight,Q4_0,4096,4096,32,4,77.050974
29,v_proj,blk.29.attn_v.weight,Q4_0,4096,4096,32,4,76.919796
29,o_proj,blk.29.attn_output.weight,Q4_0,4096,4096,32,4,77.041573
29,ffn_gate,blk.29.ffn_gate.weight,Q4_0,4096,11008,32,4,207.909765
29,ffn_up,blk.29.ffn_up.weight,Q4_0,4096,11008,32,4,208.381420
29,ffn_down,blk.29.ffn_down.weight,Q4_0,11008,4096,32,4,200.812171
30,q_proj,blk.30.attn_q.weight,Q4_0,4096,4096,32,4,76.590342
30,k_proj,blk.30.attn_k.weight,Q4_0,4096,4096,32,4,77.020551
30,v_proj,blk.30.attn_v.weight,Q4_0,4096,4096,32,4,77.251154
30,o_proj,blk.30.attn_output.weight,Q4_0,4096,4096,32,4,76.563528
30,ffn_gate,blk.30.ffn_gate.weight,Q4_0,4096,11008,32,4,207.987977
30,ffn_up,blk.30.ffn_up.weight,Q4_0,4096,11008,32,4,208.100345
30,ffn_down,blk.30.ffn_down.weight,Q4_0,11008,4096,32,4,202.287310
31,q_proj,blk.31.attn_q.weight,Q4_0,4096,4096,32,4,76.434860
31,k_proj,blk.31.attn_k.weight,Q4_0,4096,4096,32,4,77.327074
31,v_proj,blk.31.attn_v.weight,Q4_0,4096,4096,32,4,76.441313
31,o_proj,blk.31.attn_output.weight,Q4_0,4096,4096,32,4,77.200675
31,ffn_gate,blk.31.ffn_gate.weight,Q4_0,4096,11008,32,4,208.560315
31,ffn_up,blk.31.ffn_up.weight,Q4_0,4096,11008,32,4,207.321894
31,ffn_down,blk.31.ffn_down.weight,Q4_0,11008,4096,32,4,201.964540
-1,output,output.weight,Q6_K,4096,32000,1,17,3393.196654
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,1,16,16.588271
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,1,16,16.146000
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,1,16,16.015637
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,1,16,16.138161
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,1,16,42.213139
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,1,16,42.251949
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,1,16,42.887623
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,1,16,16.019389
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,1,16,15.970510
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,1,16,16.016588
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,1,16,16.054445
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,1,16,42.133342
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,1,16,42.123334
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,1,16,42.935167
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,1,16,16.008989
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,1,16,15.982343
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,1,16,16.804153
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,1,16,16.042242
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,1,16,42.144214
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,1,16,42.437652
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,1,16,43.140817
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,1,16,16.021296
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,1,16,15.955105
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,1,16,15.933518
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,1,16,16.053604
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,1,16,42.240383
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,1,16,42.177666
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,1,16,42.751955
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,1,16,15.956015
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,1,16,15.997347
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,1,16,15.951632
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,1,16,16.045603
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,1,16,42.278605
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,1,16,42.129817
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,1,16,42.761033
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,1,16,16.069468
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,1,16,16.022316
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,1,16,16.037923
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,1,16,16.089731
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,1,16,42.149441
5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,1,16,42.124829
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,1,16,42.978530
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,1,16,16.003213
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,1,16,15.991281
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,1,16,15.956748
6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,1,16,16.051754
6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,1,16,42.247416
6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,1,16,42.197149
6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,1,16,42.862449
7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,1,16,15.936897
7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,1,16,15.950872
7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,1,16,15.955428
7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,1,16,17.249542
7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,1,16,42.200999
7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,1,16,42.269507
7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,1,16,42.951559
8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,1,16,15.993351
8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,1,16,16.008689
8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,1,16,16.009116
8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,1,16,16.103084
8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,1,16,42.190983
8,ffn_up,blk.8.ffn_up.weight,Q4_0,4096,11008,1,16,42.172149
8,ffn_down,blk.8.ffn_down.weight,Q4_0,11008,4096,1,16,42.896253
9,q_proj,blk.9.attn_q.weight,Q4_0,4096,4096,1,16,15.952017
9,k_proj,blk.9.attn_k.weight,Q4_0,4096,4096,1,16,15.966970
9,v_proj,blk.9.attn_v.weight,Q4_0,4096,4096,1,16,15.925627
9,o_proj,blk.9.attn_output.weight,Q4_0,4096,4096,1,16,16.956577
9,ffn_gate,blk.9.ffn_gate.weight,Q4_0,4096,11008,1,16,42.266321
9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,1,16,42.308488
9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,1,16,42.743632
10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,1,16,15.970471
10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,1,16,16.155874
10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,1,16,15.942018
10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,1,16,16.044232
10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,1,16,42.275818
10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,1,16,42.242178
10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,1,16,42.929375
11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,1,16,16.591685
11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,1,16,15.978088
11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,1,16,15.992247
11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,1,16,16.042771
11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,1,16,42.171149
11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,1,16,42.200746
11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,1,16,42.886110
12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,1,16,15.981709
12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,1,16,15.978925
12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,1,16,15.991906
12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,1,16,16.060123
12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,1,16,42.229160
12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,1,16,42.232909
